"","Nest","Year","Species","Site","First_Date","Last_Date","Duration","Fate","Chicks_First","Chicks_Last","Proporation_Lost","Camera"
"791","I-4004-16",2016,"PIPL","Dyer",2016-05-26,2016-06-30,35,"Failed-Unknown",4,0,1,"0"
"792","I-4005-12",2012,"LETE","Dyer",2012-06-01,2012-07-13,42,"Fledged",2,2,0,"0"
"793","I-4005-13",2013,"LETE","Dyer",2013-05-31,2013-07-01,31,"Unknown Outcome",2,0,1,"0"
"794","I-4005-14",2014,"PIPL","Dyer",2014-05-21,2014-06-03,13,NA,NA,0,NA,"0"
"795","I-4005-15",2015,"LETE","Dyer",2015-05-28,2015-07-16,49,"Fledged",1,1,0,"0"
"796","I-4005-16",2016,"LETE","Dyer",2016-06-01,2016-07-07,36,"Failed-Unknown",1,0,1,"0"
"797","I-4006-12",2012,"LETE","Dyer",2012-06-01,2012-07-18,47,"Unknown Outcome",1,0,1,"0"
"798","I-4006-13",2013,"LETE","Dyer",2013-05-31,2013-07-12,42,"Fledged",2,1,0.5,"0"
"799","I-4006-14",2014,"PIPL","Dyer",2014-06-11,2014-07-23,42,"Failed-Predation",1,0,1,"0"
"800","I-4006-15",2015,"LETE","Dyer",2015-06-04,2015-07-16,42,"Fledged",2,2,0,"0"
"801","I-4006-16",2016,"LETE","Dyer",2016-06-01,2016-07-12,41,"Unknown Outcome",2,0,1,"0"
"802","I-4007-12",2012,"LETE","Dyer",2012-06-04,2012-06-27,23,"Unknown Outcome",NA,0,NA,"0"
"803","I-4007-13",2013,"LETE","Dyer",2013-05-31,2013-07-11,41,"Fledged",2,1,0.5,"0"
"804","I-4007-15",2015,"LETE","Dyer",2015-06-09,2015-07-27,48,"Fledged",2,2,0,"0"
"805","I-4007-16",2016,"LETE","Dyer",2016-06-01,2016-07-12,41,"Unknown Outcome",2,0,1,"0"
"806","I-4008-12",2012,"PIPL","Dyer",2012-06-04,2012-08-01,58,"Fledged",1,1,0,"0"
"807","I-4008-13",2013,"LETE","Dyer",2013-06-05,2013-07-05,30,"Unknown Outcome",1,0,1,"0"
"808","I-4008-15",2015,"LETE","Dyer",2015-06-17,2015-07-13,26,"Unknown Outcome",3,0,1,"0"
"809","I-4008-16",2016,"LETE","Dyer",2016-06-03,2016-07-07,34,"Unknown Outcome",1,0,1,"0"
"810","I-4009-12",2012,"LETE","Dyer",2012-06-06,2012-07-19,43,"Fledged",2,2,0,"0"
"811","I-4009-13",2013,"LETE","Dyer",2013-06-05,2013-07-12,37,"Unknown Outcome",1,0,1,"0"
"812","I-4009-15",2015,"LETE","Dyer",2015-06-30,2015-08-18,49,"Fledged",1,1,0,"0"
"813","I-4009-16",2016,"LETE","Dyer",2016-06-07,2016-07-04,27,NA,NA,0,NA,"0"
"814","I-4010-12",2012,"LETE","Dyer",2012-06-06,2012-07-05,29,NA,NA,0,NA,"0"
"815","I-4010-13",2013,"LETE","Dyer",2013-06-05,2013-07-17,42,"Fledged",2,2,0,"0"
"816","I-4010-15",2015,"LETE","Dyer",2015-07-07,2015-08-11,35,"Unknown Outcome",1,0,1,"0"
"817","I-4010-16",2016,"LETE","Dyer",2016-06-07,2016-07-26,49,"Fledged",1,0,1,"0"
"818","I-4011-12",2012,"PIPL","Dyer",2012-06-12,2012-08-07,56,"Fledged",3,3,0,"0"
"819","I-4011-13",2013,"LETE","Dyer",2013-06-10,2013-07-22,42,"Unknown Outcome",2,0,1,"0"
"820","I-4011-16",2016,"LETE","Dyer",2016-06-10,2016-06-24,14,NA,NA,0,NA,"0"
"821","I-4012-12",2012,"LETE","Dyer",2012-06-12,2012-07-19,37,"Fledged",1,1,0,"0"
"822","I-4012-13",2013,"LETE","Dyer",2013-06-10,2013-08-12,63,"Fledged",2,1,0.5,"0"
"823","I-4012-16",2016,"PIPL","Dyer",2016-06-16,2016-08-08,53,"Fledged",2,1,0.5,"0"
"824","I-4013-12",2012,"PIPL","Dyer",2012-06-14,2012-07-05,21,NA,NA,0,NA,"0"
"825","I-4013-13",2013,"LETE","Dyer",2013-06-15,2013-07-08,23,NA,NA,0,NA,"0"
"826","I-4013-16",2016,"LETE","Dyer",2016-06-24,2016-08-08,45,"Fledged",1,2,-1,"0"
"827","I-4014-12",2012,"LETE","Dyer",2012-07-18,2012-08-20,33,"Unknown Outcome",1,0,1,"0"
"828","I-4014-13",2013,"LETE","Dyer",2013-06-17,2013-06-24,7,NA,NA,0,NA,"0"
"829","I-4015-12",2012,"LETE","Dyer",2012-07-05,2012-08-20,46,"Fledged",1,2,-1,"0"
"830","I-4015-13",2013,"LETE","Dyer",2013-06-21,2013-07-22,31,NA,NA,0,NA,"0"
"831","I-4016-12",2012,"LETE","Dyer",2012-07-18,2012-07-30,12,NA,NA,0,NA,"0"
"832","I-4016-13",2013,"LETE","Dyer",2013-06-24,2013-07-22,28,NA,NA,0,NA,"0"
"833","I-4017-13",2013,"LETE","Dyer",2013-07-11,2013-08-07,27,"Failed-Unknown",1,0,1,"0"
"834","I-5001-12",2012,"PIPL","Kearney Broadfoot South",2012-05-02,2012-06-25,54,"Fledged",3,3,0,"0"
"835","I-5001-13",2013,"PIPL","Kearney Broadfoot South",2013-05-08,2013-06-17,40,"Failed-Unknown",4,0,1,"0"
"836","I-5001-14",2014,"PIPL","Kearney Broadfoot South",2014-05-02,2014-07-03,62,"Fledged",4,2,0.5,"0"
"837","I-5001-15",2015,"PIPL","Kearney Broadfoot South",2015-04-29,2015-05-27,28,"Failed-Predation",1,0,1,"0"
"838","I-5001-16",2016,"PIPL","Kearney Broadfoot South",2016-04-28,2016-05-23,25,NA,NA,0,NA,"0"
"839","I-5002-12",2012,"PIPL","Kearney Broadfoot South",2012-05-02,2012-05-31,29,"Unknown Outcome",4,0,1,"0"
"840","I-5002-13",2013,"PIPL","Kearney Broadfoot South",2013-05-13,2013-07-15,63,"Fledged",1,2,-1,"0"
"841","I-5002-14",2014,"PIPL","Kearney Broadfoot South",2014-05-06,2014-06-10,35,"Failed-Unknown",2,0,1,"0"
"842","I-5002-15",2015,"PIPL","Kearney Broadfoot South",2015-05-05,2015-05-26,21,NA,NA,0,NA,"0"
"843","I-5002-16",2016,"PIPL","Kearney Broadfoot South",2016-05-02,2016-07-11,70,"Fledged",4,0,1,"0"
"844","I-5003-12",2012,"PIPL","Kearney Broadfoot South",2012-05-02,2012-05-24,22,NA,NA,0,NA,"0"
"845","I-5003-13",2013,"PIPL","Kearney Broadfoot South",2013-05-15,2013-07-17,63,"Fledged",3,2,0.333333333333333,"0"
"846","I-5003-14",2014,"PIPL","Kearney Broadfoot South",2014-05-06,2014-06-02,27,"Failed-Unknown",2,0,1,"0"
"847","I-5003-15",2015,"PIPL","Kearney Broadfoot South",2015-05-05,2015-06-23,49,"Failed-Unknown",4,0,1,"0"
"848","I-5003-16",2016,"PIPL","Kearney Broadfoot South",2016-05-02,2016-05-28,26,NA,NA,0,NA,"0"
"849","I-5004-12",2012,"LETE","Kearney Broadfoot South",2012-05-25,2012-06-02,8,NA,NA,0,NA,"0"
"850","I-5004-13",2013,"PIPL","Kearney Broadfoot South",2013-05-25,2013-07-01,37,NA,NA,0,NA,"0"
"851","I-5004-14",2014,"PIPL","Kearney Broadfoot South",2014-05-09,2014-06-06,28,"Unknown Outcome",NA,0,NA,"0"
"852","I-5004-15",2015,"PIPL","Kearney Broadfoot South",2015-05-07,2015-05-27,20,NA,NA,0,NA,"0"
"853","I-5004-16",2016,"PIPL","Kearney Broadfoot South",2016-05-11,2016-06-29,49,"Unknown Outcome",1,0,1,"0"
"854","I-5005-12",2012,"LETE","Kearney Broadfoot South",2012-05-25,2012-07-03,39,NA,NA,0,NA,"0"
"855","I-5005-13",2013,"LETE","Kearney Broadfoot South",2013-05-28,2013-07-12,45,"Fledged",3,2,0.333333333333333,"0"
"856","I-5005-14",2014,"PIPL","Kearney Broadfoot South",2014-05-15,2014-06-10,26,"Failed-Unknown",2,0,1,"0"
"857","I-5005-15",2015,"PIPL","Kearney Broadfoot South",2015-05-07,2015-06-08,32,NA,NA,0,NA,"0"
"858","I-5005-16",2016,"PIPL","Kearney Broadfoot South",2016-05-23,2016-07-01,39,"Unknown Outcome",4,0,1,"0"
"859","I-5006-12",2012,"LETE","Kearney Broadfoot South",2012-05-31,2012-07-12,42,"Fledged",1,1,0,"0"
"860","I-5006-13",2013,"PIPL","Kearney Broadfoot South",2013-05-28,2013-06-09,12,NA,NA,0,NA,"0"
"861","I-5006-14",2014,"LETE","Kearney Broadfoot South",2014-06-05,2014-07-30,55,"Fledged",3,2,0.333333333333333,"0"
"862","I-5006-15",2015,"PIPL","Kearney Broadfoot South",2015-05-07,2015-05-25,18,NA,NA,0,NA,"0"
"863","I-5006-16",2016,"PIPL","Kearney Broadfoot South",2016-05-31,2016-07-27,57,"Fledged",1,1,0,"0"
"864","I-5007-12",2012,"LETE","Kearney Broadfoot South",2012-05-31,2012-07-13,43,"Fledged",1,1,0,"0"
"865","I-5007-13",2013,"LETE","Kearney Broadfoot South",2013-05-30,2013-06-03,4,NA,NA,0,NA,"0"
"866","I-5007-14",2014,"LETE","Kearney Broadfoot South",2014-06-10,2014-07-14,34,"Unknown Outcome",1,0,1,"0"
"867","I-5007-15",2015,"PIPL","Kearney Broadfoot South",2015-05-21,2015-05-29,8,NA,NA,0,NA,"0"
"868","I-5007-16",2016,"PIPL","Kearney Broadfoot South",2016-05-31,2016-07-26,56,"Fledged",2,1,0.5,"0"
"869","I-5008-12",2012,"LETE","Kearney Broadfoot South",2012-05-31,2012-07-12,42,"Fledged",2,1,0.5,"0"
"870","I-5008-13",2013,"LETE","Kearney Broadfoot South",2013-05-30,2013-07-10,41,"Fledged",1,1,0,"0"
"871","I-5008-14",2014,"PIPL","Kearney Broadfoot South",2014-06-18,2014-07-17,29,NA,NA,0,NA,"0"
"872","I-5008-15",2015,"LETE","Kearney Broadfoot South",2015-06-01,2015-06-08,7,NA,NA,0,NA,"0"
"873","I-5008-16",2016,"LETE","Kearney Broadfoot South",2016-05-31,2016-07-22,52,"Fledged",1,0,1,"0"
"874","I-5009-12",2012,"LETE","Kearney Broadfoot South",2012-06-02,2012-06-25,23,"Unknown Outcome",NA,0,NA,"0"
"875","I-5009-13",2013,"LETE","Kearney Broadfoot South",2013-06-03,2013-07-12,39,"Fledged",2,1,0.5,"0"
"876","I-5009-14",2014,"PIPL","Kearney Broadfoot South",2014-06-24,2014-08-22,59,"Fledged",1,2,-1,"0"
"877","I-5009-15",2015,"PIPL","Kearney Broadfoot South",2015-06-08,2015-06-25,17,NA,NA,0,NA,"0"
"878","I-5009-16",2016,"LETE","Kearney Broadfoot South",2016-05-31,2016-07-22,52,"Fledged",2,2,0,"0"
"879","I-5010-12",2012,"LETE","Kearney Broadfoot South",2012-06-02,2012-06-25,23,"Unknown Outcome",1,0,1,"0"
"880","I-5010-13",2013,"LETE","Kearney Broadfoot South",2013-06-05,2013-06-27,22,"Unknown Outcome",NA,0,NA,"0"
"881","I-5010-14",2014,"PIPL","Kearney Broadfoot South",2014-06-27,2014-08-22,56,"Fledged",3,3,0,"0"
"882","I-5010-15",2015,"LETE","Kearney Broadfoot South",2015-06-10,2015-07-30,50,"Fledged",1,1,0,"0"
"883","I-5010-16",2016,"LETE","Kearney Broadfoot South",2016-06-02,2016-07-04,32,NA,NA,0,NA,"0"
"884","I-5011-12",2012,"LETE","Kearney Broadfoot South",2012-06-02,2012-07-20,48,"Fledged",1,1,0,"0"
"885","I-5011-13",2013,"LETE","Kearney Broadfoot South",2013-06-05,2013-06-24,19,NA,NA,0,NA,"0"
"886","I-5011-14",2014,"LETE","Kearney Broadfoot South",2014-06-27,2014-08-07,41,"Fledged",1,2,-1,"0"
"887","I-5011-15",2015,"PIPL","Kearney Broadfoot South",2015-06-12,2015-07-07,25,"Failed-Unknown",3,0,1,"0"
"888","I-5011-16",2016,"LETE","Kearney Broadfoot South",2016-06-02,2016-07-22,50,"Fledged",1,2,-1,"0"
"889","I-5012-12",2012,"LETE","Kearney Broadfoot South",2012-06-02,2012-07-20,48,"Fledged",1,1,0,"0"
"890","I-5012-13",2013,"LETE","Kearney Broadfoot South",2013-06-10,2013-06-29,19,"Unknown Outcome",NA,0,NA,"0"
"891","I-5012-14",2014,"LETE","Kearney Broadfoot South",2014-07-01,2014-07-11,10,NA,NA,0,NA,"0"
"892","I-5012-15",2015,"PIPL","Kearney Broadfoot South",2015-06-12,2015-08-05,54,"Fledged",3,1,0.666666666666667,"0"
"893","I-5012-16",2016,"LETE","Kearney Broadfoot South",2016-06-06,2016-07-25,49,"Fledged",2,0,1,"0"
"894","I-5013-12",2012,"LETE","Kearney Broadfoot South",2012-06-02,2012-07-17,45,"Fledged",1,1,0,"0"
"895","I-5013-13",2013,"LETE","Kearney Broadfoot South",2013-06-11,2013-07-17,36,"Unknown Outcome",1,0,1,"0"
"896","I-5013-14",2014,"LETE","Kearney Broadfoot South",2014-07-01,2014-08-05,35,"Unknown Outcome",1,0,1,"0"
"897","I-5013-15",2015,"LETE","Kearney Broadfoot South",2015-06-15,2015-07-08,23,NA,NA,0,NA,"0"
"898","I-5013-16",2016,"LETE","Kearney Broadfoot South",2016-06-06,2016-07-25,49,"Fledged",1,0,1,"0"
"899","I-5014-12",2012,"LETE","Kearney Broadfoot South",2012-06-02,2012-08-02,61,"Fledged",2,1,0.5,"0"
"900","I-5014-13",2013,"LETE","Kearney Broadfoot South",2013-06-12,2013-07-24,42,"Fledged",1,1,0,"0"
"901","I-5014-14",2014,"LETE","Kearney Broadfoot South",2014-07-03,2014-07-23,20,NA,NA,0,NA,"0"
"902","I-5014-15",2015,"LETE","Kearney Broadfoot South",2015-06-17,2015-07-30,43,"Fledged",1,1,0,"0"
"903","I-5014-16",2016,"LETE","Kearney Broadfoot South",2016-06-06,2016-07-07,31,"Unknown Outcome",1,0,1,"0"
"904","I-5015-12",2012,"LETE","Kearney Broadfoot South",2012-06-02,2012-07-11,39,"Fledged",3,1,0.666666666666667,"0"
"905","I-5015-13",2013,"PIPL","Kearney Broadfoot South",2013-06-19,2013-07-15,26,NA,NA,0,NA,"0"
"906","I-5015-14",2014,"PIPL","Kearney Broadfoot South",2014-07-07,2014-08-07,31,"Fledged",2,1,0.5,"0"
"907","I-5015-15",2015,"LETE","Kearney Broadfoot South",2015-06-17,2015-08-03,47,"Fledged",1,1,0,"0"
"908","I-5015-16",2016,"LETE","Kearney Broadfoot South",2016-06-06,2016-07-25,49,"Fledged",2,2,0,"0"
"909","I-5016-12",2012,"LETE","Kearney Broadfoot South",2012-06-02,2012-07-03,31,NA,NA,0,NA,"0"
"910","I-5016-13",2013,"LETE","Kearney Broadfoot South",2013-07-02,2013-07-23,21,NA,NA,0,NA,"0"
"911","I-5016-14",2014,"LETE","Kearney Broadfoot South",2014-07-07,2014-07-30,23,NA,NA,0,NA,"0"
"912","I-5016-15",2015,"LETE","Kearney Broadfoot South",2015-06-17,2015-07-14,27,"Failed-Unknown",NA,0,NA,"0"
"913","I-5016-16",2016,"LETE","Kearney Broadfoot South",2016-06-06,2016-07-27,51,"Fledged",1,0,1,"0"
"914","I-5017-12",2012,"LETE","Kearney Broadfoot South",2012-06-05,2012-07-17,42,"Fledged",3,2,0.333333333333333,"0"
"915","I-5017-13",2013,"LETE","Kearney Broadfoot South",2013-07-01,2013-07-24,23,NA,NA,0,NA,"0"
"916","I-5017-14",2014,"LETE","Kearney Broadfoot South",2014-07-07,2014-08-01,25,"Failed-Unknown",1,0,1,"0"
"917","I-5017-15",2015,"PIPL","Kearney Broadfoot South",2015-06-17,2015-06-25,8,NA,NA,0,NA,"0"
"918","I-5017-16",2016,"LETE","Kearney Broadfoot South",2016-06-06,2016-07-01,25,NA,NA,0,NA,"0"
"919","I-5018-12",2012,"LETE","Kearney Broadfoot South",2012-06-05,2012-07-03,28,NA,NA,0,NA,"0"
"920","I-5018-13",2013,"LETE","Kearney Broadfoot South",2013-07-09,2013-08-05,27,"Unknown Outcome",1,0,1,"0"
"921","I-5018-14",2014,"LETE","Kearney Broadfoot South",2014-07-07,2014-07-17,10,NA,NA,0,NA,"0"
"922","I-5018-15",2015,"LETE","Kearney Broadfoot South",2015-06-17,2015-07-30,43,"Fledged",1,1,0,"0"
"923","I-5018-16",2016,"LETE","Kearney Broadfoot South",2016-06-06,2016-07-18,42,"Unknown Outcome",1,0,1,"0"
"924","I-5019-12",2012,"LETE","Kearney Broadfoot South",2012-06-05,2012-06-30,25,"Failed-Unknown",2,0,1,"0"
"925","I-5019-13",2013,"LETE","Kearney Broadfoot South",2013-07-12,2013-08-05,24,NA,NA,0,NA,"0"
"926","I-5019-14",2014,"LETE","Kearney Broadfoot South",2014-07-11,2014-08-07,27,"Failed-Unknown",2,0,1,"0"
"927","I-5019-15",2015,"PIPL","Kearney Broadfoot South",2015-06-23,2015-08-18,56,"Fledged",4,1,0.75,"0"
"928","I-5019-16",2016,"LETE","Kearney Broadfoot South",2016-06-06,2016-06-17,11,NA,NA,0,NA,"0"
"929","I-5020-12",2012,"LETE","Kearney Broadfoot South",2012-06-05,2012-07-17,42,"Fledged",1,2,-1,"0"
"930","I-5020-13",2013,"LETE","Kearney Broadfoot South",2013-07-15,2013-08-07,23,NA,NA,0,NA,"0"
"931","I-5020-14",2014,"LETE","Kearney Broadfoot South",2014-07-11,2014-07-14,3,NA,NA,0,NA,"0"
"932","I-5020-15",2015,"PIPL","Kearney Broadfoot South",2015-06-23,2015-07-17,24,"Unknown Outcome",NA,0,NA,"0"
"933","I-5020-16",2016,"LETE","Kearney Broadfoot South",2016-06-08,2016-07-25,47,"Fledged",2,0,1,"0"
"934","I-5021-12",2012,"LETE","Kearney Broadfoot South",2012-06-05,2012-07-17,42,"Fledged",1,2,-1,"0"
"935","I-5021-15",2015,"LETE","Kearney Broadfoot South",2015-06-23,2015-08-05,43,"Fledged",1,2,-1,"0"
"936","I-5021-16",2016,"PIPL","Kearney Broadfoot South",2016-06-08,2016-06-15,7,NA,NA,0,NA,"0"
"937","I-5022-12",2012,"LETE","Kearney Broadfoot South",2012-06-17,2012-07-25,38,"Fledged",2,1,0.5,"0"
"938","I-5022-15",2015,"LETE","Kearney Broadfoot South",2015-06-23,2015-08-05,43,"Fledged",1,2,-1,"0"
"939","I-5022-16",2016,"LETE","Kearney Broadfoot South",2016-06-08,2016-07-06,28,"Unknown Outcome",1,0,1,"0"
"940","I-5023-12",2012,"PIPL","Kearney Broadfoot South",2012-06-18,2012-07-31,43,"Unknown Outcome",4,0,1,"0"
"941","I-5023-15",2015,"LETE","Kearney Broadfoot South",2015-06-23,2015-08-05,43,"Fledged",2,2,0,"0"
"942","I-5023-16",2016,"LETE","Kearney Broadfoot South",2016-06-08,2016-07-27,49,"Fledged",1,0,1,"0"
"943","I-5024-12",2012,"LETE","Kearney Broadfoot South",2012-06-25,2012-07-24,29,NA,NA,0,NA,"0"
"944","I-5024-15",2015,"LETE","Kearney Broadfoot South",2015-06-25,2015-07-21,26,"Unknown Outcome",NA,0,NA,"0"
"945","I-5024-16",2016,"LETE","Kearney Broadfoot South",2016-06-15,2016-07-27,42,"Fledged",2,0,1,"0"
"946","I-5025-12",2012,"LETE","Kearney Broadfoot South",2012-07-03,2012-07-31,28,"Unknown Outcome",1,0,1,"0"
"947","I-5025-15",2015,"LETE","Kearney Broadfoot South",2015-07-16,2015-08-12,27,NA,NA,0,NA,"0"
"948","I-5025-16",2016,"LETE","Kearney Broadfoot South",2016-06-15,2016-07-27,42,"Fledged",1,0,1,"0"
"949","I-5026-12",2012,"PIPL","Kearney Broadfoot South",2012-07-06,2012-08-21,46,"Fledged",3,2,0.333333333333333,"0"
"950","I-5026-15",2015,"LETE","Kearney Broadfoot South",2015-07-21,2015-08-28,38,"Fledged",1,1,0,"0"
"951","I-5026-16",2016,"LETE","Kearney Broadfoot South",2016-06-15,2016-07-07,22,"Unknown Outcome",1,0,1,"0"
"952","I-5027-12",2012,"LETE","Kearney Broadfoot South",2012-07-06,2012-08-15,40,"Fledged",1,1,0,"0"
"953","I-5027-16",2016,"PIPL","Kearney Broadfoot South",2016-06-15,2016-07-11,26,"Unknown Outcome",3,0,1,"0"
"954","I-5028-12",2012,"LETE","Kearney Broadfoot South",2012-07-09,2012-08-15,37,"Fledged",1,1,0,"0"
"955","I-5028-16",2016,"LETE","Kearney Broadfoot South",2016-06-23,2016-08-04,42,"Fledged",2,2,0,"0"
"956","I-5029-12",2012,"LETE","Kearney Broadfoot South",2012-07-09,2012-08-10,32,"Unknown Outcome",1,0,1,"0"
"957","I-5029-16",2016,"LETE","Kearney Broadfoot South",2016-06-26,2016-07-18,22,NA,NA,0,NA,"0"
"958","I-5030-12",2012,"LETE","Kearney Broadfoot South",2012-07-09,2012-07-31,22,"Unknown Outcome",1,0,1,"0"
"959","I-5030-16",2016,"LETE","Kearney Broadfoot South",2016-06-26,2016-07-11,15,"Unknown Outcome",NA,0,NA,"0"
"960","I-5031-12",2012,"LETE","Kearney Broadfoot South",2012-07-17,2012-07-31,14,"Unknown Outcome",NA,0,NA,"0"
"961","I-5031-16",2016,"LETE","Kearney Broadfoot South",2016-06-29,2016-07-07,8,NA,NA,0,NA,"0"
"962","I-5032-16",2016,"LETE","Kearney Broadfoot South",2016-06-29,2016-07-21,22,NA,NA,0,NA,"0"
"963","I-5033-16",2016,"LETE","Kearney Broadfoot South",2016-07-06,2016-08-02,27,NA,NA,0,NA,"0"
"964","I-5034-16",2016,"LETE","Kearney Broadfoot South",2016-07-06,2016-07-21,15,NA,NA,0,NA,"0"
"965","I-7001-12",2012,"PIPL","Newark West",2012-05-15,2012-05-24,9,NA,NA,0,NA,"0"
"966","I-7001-13",2013,"PIPL","Newark West",2013-05-16,2013-07-11,56,"Fledged",3,1,0.666666666666667,"0"
"967","I-7001-14",2014,"PIPL","Newark West",2014-05-02,2014-05-09,7,NA,NA,0,NA,"0"
"968","I-7001-15",2015,"PIPL","Newark West",2015-05-01,2015-07-02,62,"Fledged",2,0,1,"0"
"969","I-7001-16",2016,"PIPL","Newark West",2016-05-02,2016-07-11,70,"Fledged",4,0,1,"0"
"970","I-7002-12",2012,"LETE","Newark West",2012-05-31,2012-07-06,36,"Fledged",2,2,0,"0"
"971","I-7002-13",2013,"PIPL","Newark West",2013-05-16,2013-07-16,61,"Fledged",1,1,0,"0"
"972","I-7002-14",2014,"PIPL","Newark West",2014-05-21,2014-08-07,78,"Fledged",3,1,0.666666666666667,"0"
"973","I-7002-15",2015,"PIPL","Newark West",2015-05-01,2015-05-25,24,NA,NA,0,NA,"0"
"974","I-7002-16",2016,"PIPL","Newark West",2016-05-02,2016-06-06,35,"Unknown Outcome",1,0,1,"0"
"975","I-7003-12",2012,"LETE","Newark West",2012-05-31,2012-07-09,39,"Fledged",2,2,0,"0"
"976","I-7003-13",2013,"LETE","Newark West",2013-06-25,2013-08-06,42,"Fledged",1,2,-1,"0"
"977","I-7003-14",2014,"PIPL","Newark West",2014-05-21,2014-08-07,78,"Fledged",2,1,0.5,"0"
"978","I-7003-15",2015,"PIPL","Newark West",2015-05-07,2015-05-11,4,NA,NA,0,NA,"0"
"979","I-7003-16",2016,"PIPL","Newark West",2016-05-02,2016-07-07,66,"Fledged",2,0,1,"0"
"980","I-7004-12",2012,"LETE","Newark West",2012-05-31,2012-07-17,47,"Fledged",1,1,0,"0"
"981","I-7004-14",2014,"LETE","Newark West",2014-05-28,2014-07-07,40,"Unknown Outcome",1,0,1,"0"
"982","I-7004-15",2015,"PIPL","Newark West",2015-05-11,2015-07-23,73,"Fledged",2,0,1,"0"
"983","I-7004-16",2016,"PIPL","Newark West",2016-05-09,2016-05-23,14,NA,NA,0,NA,"0"
"984","I-7005-12",2012,"LETE","Newark West",2012-06-02,2012-07-17,45,"Fledged",2,2,0,"0"
"985","I-7005-14",2014,"LETE","Newark West",2014-05-30,2014-07-07,38,"Unknown Outcome",1,0,1,"0"
"986","I-7005-15",2015,"PIPL","Newark West",2015-06-01,2015-07-30,59,"Fledged",4,0,1,"0"
"987","I-7005-16",2016,"PIPL","Newark West",2016-05-23,2016-07-22,60,"Fledged",4,3,0.25,"0"
"988","I-7006-12",2012,"LETE","Newark West",2012-06-05,2012-06-15,10,NA,NA,0,NA,"0"
"989","I-7006-14",2014,"LETE","Newark West",2014-06-03,2014-07-23,50,"Fledged",2,1,0.5,"0"
"990","I-7006-15",2015,"LETE","Newark West",2015-06-01,2015-07-23,52,"Fledged",2,1,0.5,"0"
"991","I-7006-16",2016,"LETE","Newark West",2016-05-31,2016-07-20,50,"Fledged",2,2,0,"0"
"992","I-7007-12",2012,"PIPL","Newark West",2012-06-15,2012-08-13,59,"Fledged",1,4,-3,"0"
"993","I-7007-14",2014,"LETE","Newark West",2014-06-03,2014-07-10,37,"Unknown Outcome",1,0,1,"0"
"994","I-7007-15",2015,"LETE","Newark West",2015-06-01,2015-07-23,52,"Fledged",3,1,0.666666666666667,"0"
"995","I-7007-16",2016,"LETE","Newark West",2016-05-31,2016-07-18,48,"Fledged",2,0,1,"0"
"996","I-7008-12",2012,"PIPL","Newark West",2012-06-18,2012-08-10,53,"Unknown Outcome",4,0,1,"0"
"997","I-7008-14",2014,"LETE","Newark West",2014-06-03,2014-08-01,59,"Fledged",2,1,0.5,"0"
"998","I-7008-15",2015,"LETE","Newark West",2015-06-01,2015-07-23,52,"Fledged",1,1,0,"0"
"999","I-7008-16",2016,"LETE","Newark West",2016-05-31,2016-07-11,41,"Unknown Outcome",3,0,1,"0"
"1000","I-7009-12",2012,"LETE","Newark West",2012-06-21,2012-06-25,4,NA,NA,0,NA,"0"
"1001","I-7009-14",2014,"LETE","Newark West",2014-06-03,2014-06-15,12,NA,NA,0,NA,"0"
"1002","I-7009-15",2015,"LETE","Newark West",2015-06-01,2015-07-28,57,"Fledged",2,0,1,"0"
"1003","I-7009-16",2016,"LETE","Newark West",2016-06-02,2016-06-25,23,"Unknown Outcome",NA,0,NA,"0"
"1004","I-7010-14",2014,"LETE","Newark West",2014-06-09,2014-08-05,57,"Fledged",2,1,0.5,"0"
"1005","I-7010-15",2015,"LETE","Newark West",2015-06-01,2015-07-08,37,"Unknown Outcome",2,0,1,"0"
"1006","I-7010-16",2016,"LETE","Newark West",2016-06-02,2016-07-07,35,"Unknown Outcome",2,0,1,"0"
"1007","I-7011-14",2014,"LETE","Newark West",2014-06-09,2014-08-05,57,"Fledged",1,1,0,"0"
"1008","I-7011-15",2015,"LETE","Newark West",2015-06-08,2015-07-14,36,"Unknown Outcome",1,0,1,"0"
"1009","I-7011-16",2016,"LETE","Newark West",2016-06-02,2016-07-11,39,"Unknown Outcome",1,0,1,"0"
"1010","I-7012-14",2014,"LETE","Newark West",2014-06-13,2014-06-17,4,NA,NA,0,NA,"0"
"1011","I-7012-15",2015,"LETE","Newark West",2015-06-08,2015-07-21,43,"Unknown Outcome",1,0,1,"0"
"1012","I-7012-16",2016,"LETE","Newark West",2016-06-02,2016-07-07,35,"Unknown Outcome",3,0,1,"0"
"1013","I-7013-14",2014,"LETE","Newark West",2014-07-07,2014-08-19,43,"Fledged",1,1,0,"0"
"1014","I-7013-15",2015,"LETE","Newark West",2015-06-08,2015-07-06,28,"Unknown Outcome",1,0,1,"0"
"1015","I-7013-16",2016,"PIPL","Newark West",2016-06-14,2016-08-02,49,"Unknown Outcome",2,0,1,"0"
"1016","I-7014-14",2014,"LETE","Newark West",2014-07-07,2014-08-01,25,"Failed-Unknown",2,0,1,"0"
"1017","I-7014-15",2015,"LETE","Newark West",2015-06-08,2015-07-14,36,"Unknown Outcome",3,0,1,"0"
"1018","I-7014-16",2016,"LETE","Newark West",2016-06-14,2016-07-13,29,"Unknown Outcome",2,0,1,"0"
